indice_tiempo,clasificacion_vuelo,pasajeros,asientos,vuelos
2017-01-01,Cabotaje,25537,37239,285
2017-01-01,Internacional,31493,46696,247
2017-01-02,Cabotaje,37248,46026,359
2017-01-02,Internacional,41810,51495,254
2017-01-03,Cabotaje,34772,42174,330
2017-01-03,Internacional,39480,49184,245
2017-01-04,Cabotaje,36692,44499,346
2017-01-04,Internacional,38298,48614,242
2017-01-05,Cabotaje,35772,45164,359
2017-01-05,Internacional,39432,50155,249
2017-01-06,Cabotaje,36961,48306,372
2017-01-06,Internacional,39157,48538,253
2017-01-07,Cabotaje,33635,41818,317
2017-01-07,Internacional,43584,54006,272
2017-01-08,Cabotaje,32888,40184,301
2017-01-08,Internacional,44271,52790,271
2017-01-09,Cabotaje,34395,41305,334
2017-01-09,Internacional,43447,51838,253
2017-01-10,Cabotaje,36991,46516,350
2017-01-10,Internacional,40767,49418,246
2017-01-11,Cabotaje,33507,44731,345
2017-01-11,Internacional,39448,47118,238
2017-01-12,Cabotaje,34791,44824,355
2017-01-12,Internacional,42662,49512,248
2017-01-13,Cabotaje,36907,46096,362
2017-01-13,Internacional,43412,48983,249
2017-01-14,Cabotaje,36400,44753,333
2017-01-14,Internacional,50907,57183,288
2017-01-15,Cabotaje,33786,41044,307
2017-01-15,Internacional,49702,54404,283
2017-01-16,Cabotaje,39717,47586,379
2017-01-16,Internacional,45422,51772,256
2017-01-17,Cabotaje,36072,45590,337
2017-01-17,Internacional,42202,49377,247
2017-01-18,Cabotaje,34008,43537,338
2017-01-18,Internacional,39894,47395,238
2017-01-19,Cabotaje,34142,43788,348
2017-01-19,Internacional,42460,50295,253
2017-01-20,Cabotaje,36679,45469,355
2017-01-20,Internacional,41831,48507,251
2017-01-21,Cabotaje,34223,43529,335
2017-01-21,Internacional,49420,57287,287
2017-01-22,Cabotaje,32239,40135,301
2017-01-22,Internacional,45336,52259,273
2017-01-23,Cabotaje,37432,46242,370
2017-01-23,Internacional,45179,52709,260
2017-01-24,Cabotaje,34817,45117,346
2017-01-24,Internacional,40029,47636,238
2017-01-25,Cabotaje,33058,43650,343
2017-01-25,Internacional,41116,49379,247
2017-01-26,Cabotaje,34494,44355,351
2017-01-26,Internacional,41585,49791,249
2017-01-27,Cabotaje,36618,46145,362
2017-01-27,Internacional,42778,48565,250
2017-01-28,Cabotaje,33516,42787,331
2017-01-28,Internacional,50573,57218,290
2017-01-29,Cabotaje,32909,40859,306
2017-01-29,Internacional,45798,51974,271
2017-01-30,Cabotaje,37369,46309,368
2017-01-30,Internacional,46230,54128,266
2017-01-31,Cabotaje,35347,45323,352
2017-01-31,Internacional,41024,47676,239
2017-02-01,Cabotaje,34629,43196,330
2017-02-01,Internacional,42003,48389,240
2017-02-02,Cabotaje,35223,44957,356
2017-02-02,Internacional,42272,48961,246
2017-02-03,Cabotaje,35512,46003,353
2017-02-03,Internacional,42040,47707,245
2017-02-04,Cabotaje,31270,40614,312
2017-02-04,Internacional,49397,58371,293
2017-02-05,Cabotaje,30496,37973,289
2017-02-05,Internacional,46926,53518,274
2017-02-06,Cabotaje,36968,46193,370
2017-02-06,Internacional,45439,53279,265
2017-02-07,Cabotaje,34508,44988,343
2017-02-07,Internacional,39558,48775,243
2017-02-08,Cabotaje,33094,43929,330
2017-02-08,Internacional,39117,47760,242
2017-02-09,Cabotaje,34578,44918,362
2017-02-09,Internacional,41099,50452,250
2017-02-10,Cabotaje,37403,45966,359
2017-02-10,Internacional,41913,47861,249
2017-02-11,Cabotaje,33022,40759,314
2017-02-11,Internacional,48608,56903,285
2017-02-12,Cabotaje,33554,39764,296
2017-02-12,Internacional,49538,55409,289
2017-02-13,Cabotaje,38248,46315,371
2017-02-13,Internacional,46062,53651,266
2017-02-14,Cabotaje,34910,44018,331
2017-02-14,Internacional,39538,46943,234
2017-02-15,Cabotaje,35864,44760,348
2017-02-15,Internacional,39039,46953,237
2017-02-16,Cabotaje,35025,44152,353
2017-02-16,Internacional,43136,51190,254
2017-02-17,Cabotaje,36216,45591,366
2017-02-17,Internacional,42877,48675,252
2017-02-18,Cabotaje,32269,40686,316
2017-02-18,Internacional,48331,56976,285
2017-02-19,Cabotaje,33119,39862,300
2017-02-19,Internacional,45735,51554,269
2017-02-20,Cabotaje,37199,45531,364
2017-02-20,Internacional,46166,54238,269
2017-02-21,Cabotaje,33139,42373,327
2017-02-21,Internacional,38662,47291,235
2017-02-22,Cabotaje,36867,45670,357
2017-02-22,Internacional,40859,48582,244
2017-02-23,Cabotaje,38208,44988,354
2017-02-23,Internacional,42821,49999,251
2017-02-24,Cabotaje,38278,44302,353
2017-02-24,Internacional,42777,48147,250
2017-02-25,Cabotaje,35180,40487,314
2017-02-25,Internacional,49773,57125,285
2017-02-26,Cabotaje,31455,36737,278
2017-02-26,Internacional,45971,53190,274
2017-02-27,Cabotaje,32471,41000,328
2017-02-27,Internacional,44367,52956,258
2017-02-28,Cabotaje,34611,41944,312
2017-02-28,Internacional,42036,48892,245
2017-03-01,Cabotaje,36325,44589,341
2017-03-01,Internacional,41546,47198,237
2017-03-02,Cabotaje,35292,46582,370
2017-03-02,Internacional,38858,46600,234
